Date,Open,High,Low,Close,Volume,Adj Close
2013-03-05,61.97,62.56,61.65,62.27,2047200,60.78
2013-03-04,61.73,62.01,61.52,61.82,1804200,60.34
2013-03-01,61.98,62.47,61.56,61.88,3015700,60.40
2013-02-28,62.42,62.76,61.78,62.18,3173600,60.69
2013-02-27,61.76,62.58,61.52,62.46,1972500,60.97
2013-02-26,61.62,61.98,61.20,61.83,2558300,60.35
2013-02-25,62.17,62.84,61.46,61.46,2361600,59.99
2013-02-22,62.81,63.20,61.68,61.92,1973700,60.44
2013-02-21,62.60,63.16,62.10,62.71,2014200,61.21
2013-02-20,62.80,63.00,62.34,62.58,2462500,61.08
2013-02-19,60.72,62.80,60.41,62.77,3448500,61.27
2013-02-15,63.18,63.81,62.57,62.70,2930700,61.20
2013-02-14,63.07,64.02,62.63,63.29,2622200,61.78
2013-02-13,64.14,64.84,62.85,63.00,5755600,61.49
2013-02-12,66.00,66.25,65.43,66.01,1114900,64.43
2013-02-11,66.06,66.19,65.40,66.01,894200,64.43
2013-02-08,65.98,66.62,65.38,66.28,1530500,64.70
2013-02-07,65.56,65.81,64.95,65.70,1387700,64.13
2013-02-06,65.44,66.03,65.29,65.41,1869600,63.85
2013-02-05,65.28,66.20,65.28,65.84,1784200,64.27
2013-02-04,65.00,65.99,64.69,64.82,1482900,63.27
2013-02-01,65.04,65.37,64.53,65.32,1646500,63.76
2013-01-31,65.22,65.28,64.71,64.82,1716300,63.27
2013-01-30,66.14,66.30,65.37,65.39,1949800,63.83
2013-01-29,66.21,66.41,65.72,65.95,3170700,64.37
2013-01-28,66.27,66.31,65.44,66.06,2373300,64.48
2013-01-25,65.78,66.27,65.08,66.17,2478900,64.59
2013-01-24,64.61,65.90,64.10,65.69,2701200,64.12
2013-01-23,64.50,65.00,62.66,64.83,4355100,63.28
2013-01-22,62.76,63.94,62.64,63.80,2186700,62.28
2013-01-18,62.30,62.75,62.02,62.75,1757800,61.25
2013-01-17,62.13,62.62,61.92,62.42,2007800,60.93
2013-01-16,62.79,62.85,61.60,61.85,2327900,60.37
2013-01-15,62.42,63.01,61.78,63.01,1852900,61.50
2013-01-14,61.46,62.69,61.07,62.44,1756400,60.95
2013-01-11,62.56,62.56,61.52,61.75,1985100,60.27
2013-01-10,62.35,62.37,61.36,62.24,3315300,60.75
2013-01-09,60.17,62.11,59.99,62.05,3383900,60.57
2013-01-08,59.71,60.61,59.45,60.07,2923200,58.63
2013-01-07,59.05,59.84,58.83,59.74,1850800,58.31
2013-01-04,59.20,59.69,58.98,59.29,2862500,57.87
2013-01-03,60.24,60.24,58.75,58.93,3352000,57.52
2013-01-02,61.08,61.89,60.44,60.92,2309600,59.46
2012-12-31,59.76,60.97,59.48,60.92,1800400,59.46
2012-12-28,60.14,60.81,59.88,59.89,1169400,58.46
2012-12-27,61.06,61.22,59.94,60.48,1819300,59.03
2012-12-26,61.07,61.53,60.88,61.15,1306000,59.69
2012-12-24,61.38,61.38,60.68,61.07,788200,59.61
2012-12-21,61.34,61.65,60.68,61.31,4666800,59.85
2012-12-20,60.22,61.52,60.10,61.51,2422700,60.04
2012-12-19,60.62,60.66,59.91,59.97,1867900,58.54
2012-12-18,59.97,60.60,59.60,60.57,2123100,59.12
2012-12-17,58.51,60.05,58.51,60.03,2296300,58.60
2012-12-14,58.55,58.96,58.03,58.49,2065700,57.09
2012-12-13,59.21,59.61,58.67,59.02,2511500,57.61
2012-12-12,58.93,59.95,58.93,59.24,2980900,57.82
2012-12-11,57.28,59.03,57.28,58.89,2558800,57.48
2012-12-10,57.57,58.36,57.37,58.21,1693800,56.82
2012-12-07,56.67,57.78,56.67,57.78,2418000,56.40
2012-12-06,56.12,56.64,55.88,56.62,1850400,55.27
2012-12-05,55.61,56.45,55.33,56.10,1572200,54.76
2012-12-04,56.01,56.52,55.66,55.68,2196700,54.07
2012-12-03,56.02,56.29,55.46,56.08,3027100,54.46
2012-11-30,55.77,56.10,55.26,55.90,4478400,54.28
2012-11-29,54.96,55.81,54.82,55.64,4185100,54.03
2012-11-28,54.73,55.13,54.50,54.77,4678900,53.19
2012-11-27,55.21,55.69,54.86,54.97,3857100,53.38
2012-11-26,55.68,55.68,54.79,55.37,2878700,53.77
2012-11-23,55.72,56.23,55.55,56.06,806200,54.44
2012-11-21,55.71,55.93,55.21,55.57,1966300,53.96
2012-11-20,55.90,55.99,55.38,55.62,1517300,54.01
2012-11-19,55.71,56.02,55.27,55.94,2062500,54.32
2012-11-16,54.89,55.72,53.69,55.15,3797500,53.55
2012-11-15,54.41,55.20,54.25,54.64,2993400,53.06
2012-11-14,55.51,55.86,54.15,54.33,3181300,52.76
2012-11-13,55.63,56.97,55.49,55.50,2926400,53.89
2012-11-12,56.36,56.76,55.75,55.85,1674700,54.23
2012-11-09,56.00,56.89,55.85,56.16,4059200,54.54
2012-11-08,57.85,58.03,55.82,56.01,4579100,54.39
2012-11-07,58.12,59.00,57.70,57.85,7688600,56.18
2012-11-06,60.45,61.23,59.95,61.20,3058200,59.43
2012-11-05,61.08,61.23,60.29,60.85,1364400,59.09
2012-11-02,62.01,62.15,61.13,61.14,1437800,59.37
2012-11-01,61.29,62.05,60.97,61.73,2330000,59.94
2012-10-31,61.29,61.71,60.80,61.30,2253000,59.53
2012-10-26,62.01,62.31,61.02,61.29,1917800,59.52
2012-10-25,62.13,62.70,62.04,62.23,2071200,60.43
2012-10-24,62.33,62.57,61.49,61.58,1963200,59.80
2012-10-23,62.27,62.46,61.30,61.87,2100600,60.08
2012-10-22,61.60,63.10,61.02,63.03,1505000,61.21
2012-10-19,62.63,62.80,61.52,61.82,1881400,60.03
2012-10-18,61.63,63.63,61.62,62.93,3245300,61.11
2012-10-17,62.17,62.35,61.22,61.74,2104900,59.95
2012-10-16,61.51,62.66,61.18,62.02,2769200,60.23
2012-10-15,61.90,62.50,61.60,62.38,2283800,60.58
2012-10-12,62.87,63.43,61.69,61.83,3068000,60.04
2012-10-11,61.93,63.10,61.80,62.79,3139500,60.97
2012-10-10,61.94,62.40,61.40,61.54,2434400,59.76
2012-10-09,61.58,62.36,61.53,62.02,3150400,60.23
2012-10-08,61.31,62.14,61.05,61.75,1855700,59.96
2012-10-05,62.06,62.24,60.89,61.22,3713000,59.45
2012-10-04,60.78,62.43,60.55,62.16,7739400,60.36
2012-10-03,60.84,60.89,60.06,60.11,21435000,58.37
2012-10-02,58.18,60.46,58.01,60.46,4929900,58.71
2012-10-01,57.98,58.28,57.83,57.98,1989100,56.30
2012-09-28,57.85,58.15,57.50,58.01,2054800,56.33
2012-09-27,57.84,58.29,57.60,58.07,1781200,56.39
2012-09-26,58.50,58.54,57.06,57.64,2835000,55.97
2012-09-25,58.67,58.93,58.36,58.48,2565700,56.79
2012-09-24,58.86,59.25,58.30,58.49,2488000,56.80
2012-09-21,59.20,59.31,58.65,59.26,2303400,57.55
2012-09-20,58.86,59.03,58.15,58.96,2143700,57.25
2012-09-19,59.06,59.30,58.56,59.03,2098100,57.32
2012-09-18,58.81,59.30,58.70,58.91,2774500,57.21
2012-09-17,58.34,58.81,57.93,58.81,2208600,57.11
2012-09-14,58.54,58.74,57.90,58.35,4444400,56.66
2012-09-13,58.10,58.27,57.04,58.19,4540000,56.51
2012-09-12,58.73,59.00,58.16,58.21,2454100,56.53
2012-09-11,59.56,59.64,58.42,58.65,4192100,56.95
2012-09-10,60.14,60.90,58.93,59.45,5766500,57.73
2012-09-07,59.79,60.40,59.69,60.29,1447600,58.55
2012-09-06,59.34,59.72,59.05,59.72,2343300,57.99
2012-09-05,59.41,59.71,59.11,59.15,1770900,57.16
2012-09-04,59.73,60.19,59.20,59.39,1631300,57.39
2012-08-31,60.67,60.82,59.79,59.87,1929900,57.86
2012-08-30,61.40,61.61,60.44,60.46,3308300,58.43
2012-08-29,60.55,62.47,60.30,61.80,12619700,59.72
2012-08-28,58.06,58.07,57.34,57.39,2131300,55.46
2012-08-27,57.65,58.46,57.27,58.16,1692100,56.20
2012-08-24,57.70,57.95,57.27,57.66,1603600,55.72
2012-08-23,58.50,58.65,57.40,57.73,2093600,55.79
2012-08-22,57.25,58.57,57.00,58.57,2789400,56.60
2012-08-21,57.35,57.85,57.19,57.27,2170100,55.34
2012-08-20,57.43,57.97,56.52,57.38,2692300,55.45
2012-08-17,57.27,57.59,56.89,57.26,2141000,55.33
2012-08-16,57.89,58.13,57.53,57.84,1560400,55.89
2012-08-15,57.06,57.90,56.75,57.80,1911500,55.85
2012-08-14,57.03,57.51,56.80,56.90,2093000,54.99
2012-08-13,57.60,57.70,56.28,56.89,2966500,54.98
2012-08-10,56.75,57.95,56.71,57.91,2174300,55.96
2012-08-09,57.44,57.52,56.49,56.79,2309900,54.88
2012-08-08,56.25,57.50,55.92,57.44,2950100,55.51
2012-08-07,54.76,56.34,54.67,56.26,2983300,54.37
2012-08-06,55.17,55.31,54.44,54.64,2496300,52.80
2012-08-03,53.30,55.95,52.57,55.04,5319400,53.19
2012-08-02,53.93,54.02,52.68,52.93,2611900,51.15
2012-08-01,53.44,55.76,53.16,54.07,8867100,52.25
2012-07-31,54.45,54.96,53.10,53.29,5715200,51.50
2012-07-30,55.23,55.49,54.61,55.22,3086600,53.36
2012-07-27,53.89,55.45,53.48,55.12,4620000,53.27
2012-07-26,54.22,54.22,52.52,53.39,8685200,51.59
2012-07-25,55.34,55.80,53.26,54.01,15621300,52.19
2012-07-24,61.85,62.24,61.00,61.42,2108500,59.35
2012-07-23,61.34,62.22,61.00,61.81,2184800,59.73
2012-07-20,62.39,62.92,61.87,61.94,2751000,59.86
2012-07-19,63.39,63.85,61.64,62.70,3492100,60.59
2012-07-18,62.86,63.85,62.44,63.20,3140400,61.07
2012-07-17,62.01,63.10,61.88,62.94,2906900,60.82
2012-07-16,62.24,62.35,61.80,61.97,2760900,59.88
2012-07-13,61.08,62.54,61.08,62.36,2542700,60.26
2012-07-12,61.22,61.84,60.60,61.07,2567700,59.01
2012-07-11,61.11,62.14,60.94,61.78,4258600,59.70
2012-07-10,61.98,62.33,60.79,61.14,3747500,59.08
2012-07-09,63.06,63.15,61.28,61.95,9385300,59.87
2012-07-06,60.78,61.19,59.49,59.91,4470100,57.89
2012-07-05,61.13,61.99,61.06,61.25,3196300,59.19
2012-07-03,62.28,62.53,60.91,61.28,4855600,59.22
2012-07-02,64.22,64.66,62.26,62.26,6537700,60.16
2012-06-29,67.03,67.25,63.22,63.79,8446700,61.64
2012-06-28,68.67,71.34,64.00,65.90,17691500,63.68
2012-06-27,69.40,70.65,69.22,69.49,3711500,67.15
2012-06-26,69.00,70.04,68.29,69.10,4513000,66.77
2012-06-25,69.46,70.54,68.78,68.95,3115700,66.63
2012-06-22,69.94,70.46,68.75,69.76,6767100,67.41
2012-06-21,70.87,71.23,69.32,69.46,2875400,67.12
2012-06-20,71.48,72.26,70.66,70.86,3667400,68.48
2012-06-19,71.71,72.79,71.25,71.88,3627700,69.46
2012-06-18,70.65,71.49,70.24,71.34,2057500,68.94
2012-06-15,69.95,71.06,69.71,70.77,3721600,68.39
2012-06-14,68.91,70.24,68.62,69.80,2417600,67.45
2012-06-13,69.31,69.60,68.47,68.74,2658900,66.43
2012-06-12,69.55,69.88,68.58,69.47,2645300,67.13
2012-06-11,68.80,69.46,68.23,69.01,3343400,66.69
2012-06-08,67.10,69.11,67.10,69.07,2176000,66.75
2012-06-07,67.51,68.22,67.02,67.27,2962300,65.01
2012-06-06,66.57,67.43,66.17,67.27,3197700,65.01
2012-06-05,65.19,66.38,64.90,66.17,3236400,63.66
2012-06-04,66.30,66.42,65.05,65.45,3018800,62.97
2012-06-01,66.72,67.20,66.21,66.36,2107600,63.85
2012-05-31,68.09,68.27,66.93,67.39,2776700,64.84
2012-05-30,68.37,69.04,67.74,68.04,1753000,65.46
2012-05-29,68.28,68.99,67.91,68.84,1681300,66.23
2012-05-25,67.58,68.55,67.58,67.90,1484500,65.33
2012-05-24,66.91,69.34,66.81,67.82,3501900,65.25
2012-05-23,66.77,67.23,65.88,66.73,1987500,64.20
2012-05-22,67.11,68.31,66.85,67.11,2749400,64.57
2012-05-21,65.23,66.94,65.20,66.90,2430800,64.37
2012-05-18,66.63,66.73,64.85,65.08,3138000,62.62
2012-05-17,65.20,66.74,65.00,66.45,4407000,63.93
2012-05-16,65.91,66.35,65.23,65.26,1759700,62.79
2012-05-15,65.89,66.21,65.37,65.62,1673600,63.14
2012-05-14,66.07,66.44,65.47,66.08,1906900,63.58
2012-05-11,65.71,66.51,65.41,66.11,1498200,63.61
2012-05-10,66.38,66.42,65.70,65.94,1507400,63.44
2012-05-09,66.33,66.51,65.60,65.77,2198300,63.28
2012-05-08,66.17,67.09,65.93,66.88,1685900,64.35
2012-05-07,66.00,66.76,65.79,66.60,2059500,64.08
2012-05-04,67.24,67.34,65.88,66.26,2812200,63.75
2012-05-03,68.46,68.46,67.09,67.30,3318000,64.75
2012-05-02,68.18,68.93,68.12,68.79,2094800,66.19
2012-05-01,67.72,68.73,67.71,68.41,2380500,65.82
2012-04-30,68.23,68.63,67.53,67.82,3051400,65.25
2012-04-27,69.25,69.39,68.59,68.63,2645400,66.03
2012-04-26,68.24,69.50,67.46,69.35,4307700,66.72
2012-04-25,71.50,72.45,69.98,70.40,4002600,67.73
2012-04-24,70.51,71.00,70.05,70.76,1928700,68.08
2012-04-23,70.15,70.88,69.93,70.59,1877800,67.92
2012-04-20,70.82,71.23,70.41,70.68,1908300,68.00
2012-04-19,68.89,70.87,68.88,70.62,2786200,67.95
2012-04-18,69.35,69.56,69.02,69.17,1951400,66.55
2012-04-17,68.99,70.10,68.94,69.96,2106500,67.31
2012-04-16,69.45,69.48,68.64,68.73,2501500,66.13
2012-04-13,69.94,69.99,69.25,69.25,2713100,66.63
2012-04-12,69.84,70.19,69.25,70.00,2946600,67.35
2012-04-11,70.06,70.40,69.37,69.54,2294400,66.91
2012-04-10,70.17,70.46,69.12,69.27,3338600,66.65
2012-04-09,71.18,71.48,70.53,70.53,2879600,67.86
2012-04-05,71.66,72.42,71.45,72.38,2283900,69.64
2012-04-04,72.31,72.53,71.66,72.12,3293200,69.39
2012-04-03,72.83,73.35,72.49,72.64,3210800,69.89
2012-04-02,73.63,73.80,72.83,72.95,3552100,70.19
2012-03-30,71.86,74.73,71.69,73.80,7136100,71.01
2012-03-29,69.37,72.14,69.29,71.62,7793800,68.91
2012-03-28,68.16,70.14,67.99,70.00,6151000,67.35
2012-03-27,68.54,68.69,67.30,68.38,4223000,65.79
2012-03-26,67.14,68.70,66.96,68.63,3337900,66.03
2012-03-23,66.42,66.71,66.00,66.68,2060400,64.16
2012-03-22,65.81,66.74,65.62,66.39,2724500,63.88
2012-03-21,66.84,66.87,66.33,66.35,2451600,63.84
2012-03-20,67.25,67.63,66.62,66.86,2149500,64.33
2012-03-19,67.05,67.75,67.05,67.67,2346400,65.11
